Order,Family,Species,Scientific_Name,massM,SDmassM,massF,SDmassF,lengthM,SDlengthM,lengthF,SDlengthF,n_M,n_F,n_Mlength,n_Flength,Comments,Source
Eulipotyphla,Soricidae,Therese's shrew,Crocidura theresae,12.81,3.29,11.5,2.53,8.72,0.822,8.791,0.772,20,22,23,22,,"Denys, C. et al. Shrews (Mammalia, Euplipotyphla) from a biodiversity hotspot, Mount Nimba (West Africa), with a field identification key to species. Zoosystema 43, 729–757 (2021)."
Eulipotyphla,Soricidae,Merida small-eared shrew,Cryptotis meridensis,11.7,1,11,0.9,NA,NA,NA,NA,7,7,NA,NA,,"Woodman, N. & Díaz de Pascual, A. Cryptotis meridensis. Mamm. Species 761, 1 (2004)."
Eulipotyphla,Soricidae,North American least shrew,Cryptotis parvus,3.91,0.57,4.76,1.25,NA,NA,NA,NA,7,7,NA,NA,Excluded two measurements of pregnant females caught in this study (5.0g and 4.9g).,"Kaufman, D. W. & Kaufman, G. A. Least shrews in north-central Kansas: Habitat and individual characteristics. Trans. Kansas Acad. Sci. 119, 129–135 (2016)."
Eulipotyphla,Soricidae,Forest shrew,Myosorex varius,14.7,2.72,11.9,3.02,7.99,0.588,7.72,0.596,40,57,40,57,,"Rowe-Rowe, D. T. & Meester, J. Altitudinal variation in external measurements of two small-mammal species in the Natal Drakensberg. Ann. Transvaal Museum 34, 49–53 (1985)."
Eulipotyphla,Soricidae,Water shrew,Neomys fodiens,14.3,2,14.6,1.6,NA,NA,NA,NA,49,31,NA,NA,Used autumn weights because only subadults were caught in winter and females were likely to be pregnant in spring.,"Cantoni, D. Social and spatial organization of free-ranging shrews, Sorex coronatus and Neomys fodiens (Insectivora, Mammalia). Anim. Behav. 45, 975–995 (1993)."
Eulipotyphla,Soricidae,Water shrew,Neomys fodiens,14.12,0.42,14.13,0.58,7.811,0.144,8.004,0.143,18,21,18,21,SD converted from SE. The sample did not include pregnant females.,"Bal_iauskas, L. Sex- and age-related differences in tooth row length of small mammals: Shrews. Acta Zool. Litu. 14, 41–47 (2004)."
Eulipotyphla,Soricidae,Common shrew,Sorex araneus,7.67,0.1,7.45,0.1,6.486,0.034,6.531,0.037,147,113,147,113,SDmass converted from SE. The sample did not include pregnant females.,"Bal_iauskas, L. Sex- and age-related differences in tooth row length of small mammals: Shrews. Acta Zool. Litu. 14, 41–47 (2004)."
Eulipotyphla,Soricidae,Common shrew,Sorex araneus,11.7,1.053268722,12.27,1.743864674,NA,NA,NA,NA,71,26,NA,NA,Converted SEs to SDs,"Pankakoski, E. & Tähkä, K. M. Relation of adrenal weight to sex, maturity and season in five species of small mammals. Ann. Zool. Fenn. 19, 225–232 (1982)."
Eulipotyphla,Soricidae,Crowned shrew,Sorex coronatus,8.4,0.6,8.2,0.7,NA,NA,NA,NA,58,47,NA,NA,Used autumn weights because only subadults were caught in winter and females were likely to be pregnant in spring.,"Cantoni, D. Social and spatial organization of free-ranging shrews, Sorex coronatus and Neomys fodiens (Insectivora, Mammalia). Anim. Behav. 45, 975–995 (1993)."
Eulipotyphla,Soricidae,Pygmy shrew,Sorex minutus,3,0.06,3.01,0.1,4.837,0.045,4.953,0.051,62,39,62,39,SDmass converted from SE. The sample did not include pregnant females.,"Bal_iauskas, L. Sex- and age-related differences in tooth row length of small mammals: Shrews. Acta Zool. Litu. 14, 41–47 (2004)."
Eulipotyphla,Soricidae,Pygmy shrew,Sorex minutus,4.39,0.257386868,4.92,0.923496075,NA,NA,NA,NA,8,5,NA,NA,Converted SEs to SDs,"Pankakoski, E. & Tähkä, K. M. Relation of adrenal weight to sex, maturity and season in five species of small mammals. Ann. Zool. Fenn. 19, 225–232 (1982)."
Eulipotyphla,Soricidae,Long-clawed shrew,Sorex unguiculatus,15.56,1.87,12,1.25,NA,NA,NA,NA,5,3,NA,NA,,"Namba, T. & Ohdachi, S. D. Top-down cascade effects of the long-clawed shrew (Sorex unguiculatus) on the soil invertebrate community in a cool-temperate forest. Mammal Study 41, 119–130 (2016)."
Eulipotyphla,Soricidae,Climbing shrew,Suncus megalura,6.37,1.18,6.95,1.34,6.9,0.589,7.04,0.28,7,10,7,10,,"Denys, C. et al. Shrews (Mammalia, Euplipotyphla) from a biodiversity hotspot, Mount Nimba (West Africa), with a field identification key to species. Zoosystema 43, 729–757 (2021)."
Eulipotyphla,Soricidae,Asian house shrew,Suncus murinus,99.6,20.03,59.73,10.54,16,0.82,14.19,0.74,55,30,55,30,,"Shoma, S. F., Feeroz, M. M. & Hasan, M. K. Morphometry of Asian house shrew (Suncus murinus) in Jahangirnagar University campus. Bangladesh J. Zool. 43, 313–319 (2016)."
Eulipotyphla,Talpidae,Small Japanese mole,Mogera imaizumii,134,14.9,120.4,14,NA,NA,NA,NA,37,37,NA,NA,Used weights from the syntopic (rather than allopatric with M. tokudae) population due to higher sample size.,"Hashimoto, T. & Abe, M. Body size and reproductive schedules in two parapatric moles, Mogera tokudae and Mogera imaizumii, in the Echigo Plain. Mammal Study 26, (2001)."
Eulipotyphla,Talpidae,Sado mole,Mogera tokudae,64.2,7.1,58,5.4,NA,NA,NA,NA,50,34,NA,NA,Used weights from the syntopic (rather than allopatric with M. imaizumii) population due to higher sample size.,"Hashimoto, T. & Abe, M. Body size and reproductive schedules in two parapatric moles, Mogera tokudae and Mogera imaizumii, in the Echigo Plain. Mammal Study 26, (2001)."
Eulipotyphla,Talpidae,Eastern mole,Scalopus aquaticus,111.6,16.6,87.2,14.4,NA,NA,NA,NA,66,100,NA,NA,"Sample sizes for each sex were not specified but estimated from total adult sample (166) of trapped moles, considering that significantly more females were trapped than males.","Feldhamer, G. A., Devine, J. C. & Ressing, S. M. Age-related morphometrics and sex ratios in the eastern mole (Scalopus aquaticus). Am. Midl. Nat. 169, 409–415 (2013)."
Eulipotyphla,Talpidae,European mole,Talpa europea,88.7,12.8,71.4,6.1,14.7,1,13.5,0.5,13,8,13,8,,"Komarnicki, G. J. K. Tissue, sex and age specific accumulation of heavy metals (Zn, Cu, Pb, Cd) by populations of the mole (Talpa europaea L.) in a central urban area. Chemosphere 41, 1593–1602 (2000)."
Eulipotyphla,Talpidae,Japanese shrew mole,Urotrichus talpoides,14.11,1.404,13.67,1.855,8.519,0.5143,8.585,0.4741,36,27,36,27,Calculated from raw data presented.,"Shirai, K. & Iwasa, M. A. A histological study of tail width variation in the greater Japanese shrew-mole, Urotrichus talpoides. Folia Zool. 66, 203–210 (2017)."
Lagomorpha,Leporidae,Snowshoe hare,Lepus americanus,1027.3,22.5,1167.3,24.8,NA,NA,NA,NA,23,15,NA,NA,"Hares livetrapped in Tomahawk, Wisconsin - body masses from the beginning of the study (before an experiment with doubly labeled water).","Ellsworth, E., Boudreau, M. R., Nagy, K., Rachlow, J. L. & Murray, D. L. Differential sex-related winter energetics in free-ranging snowshoe hares (Lepus americanus). Can. J. Zool. 94, 115–121 (2015)."
Lagomorpha,Leporidae,Brown hare,Lepus europaeus,3058,605.4,3441,605.9,14.35,0.91,14.58,0.86,289,315,289,315,Body lengths are hindfoot lengths (standard in lagomorphs).,"Donadio, E., Pauli, J. N. & Bonino, N. A method to estimate body mass and relative age of exotic lagomorphs in the southern Neotropics. Acta Theriol. (Warsz). 50, 81–89 (2005)."
Lagomorpha,Leporidae,Brown hare,Lepus europaeus,2800,380,3500,420,NA,NA,NA,NA,9,13,NA,NA,,"Cukor, J. et al. First findings of brown hare (Lepus europaeus) reintroduction in relation to seasonal impact. PLoS One 13, 1–16 (2018)."
Lagomorpha,Leporidae,European rabbit,Oryctolagus cuniculus,1580,365.2,1827,402.8,9.68,0.6,9.86,0.45,55,86,55,86,Body lengths are hindfoot lengths (standard in lagomorphs).,"Donadio, E., Pauli, J. N. & Bonino, N. A method to estimate body mass and relative age of exotic lagomorphs in the southern Neotropics. Acta Theriol. (Warsz). 50, 81–89 (2005)."
Lagomorpha,Leporidae,European rabbit,Oryctolagus cuniculus,1491,149.4188743,1618,209.0143536,43.1,2.204540769,44.1,3.439476704,6,7,6,7,Converted SE to SD using SE=SD/sqrt(N),"Boos, M. et al. Body condition assessment and prediction of fasting endurance in wild rabbits (Oryctolagus cuniculus). Wildl. Res. 32, 75–83 (2005)."
Lagomorpha,Leporidae,Eastern cottontail,Sylvilagus floridanus,1155.9,130,1248.6,171.6,NA,NA,NA,NA,10,7,NA,NA,,"Tague, R. G. Pelvic sexual dimorphism among species monomorphic in body size: Relationship to relative newborn body mass. J. Mammal. 97, 503–517 (2016)."
Lagomorpha,Leporidae,New England cottontail rabbit,Sylvilagus transitionalis,1006.15,87.77691724,1077.99,106.3571342,NA,NA,NA,NA,33,19,NA,NA,Combined weights from small and large habitat patches for both sexes using Baker and Nissim equation (1963) for combined SE.,"Barbour, M. S. & Litvaitis, J. A. Niche dimensions of New England cottontails in relation to habitat patch size. Oecologia 95, 321–327 (1993)."
Lagomorpha,Ochotonidae,Plateau pika,Ochotona curzoniae,152.49,1.59,149.17,1.32,NA,NA,NA,NA,147,140,NA,NA,,"Nie, H., Liu, J. & Chen, B. Life-history traits and fitness of plateau pika (Ochotona curzoniae) in alpine meadow ecosystem. Ecol. Evol. 12, 1–17 (2022)."
Lagomorpha,Ochotonidae,American pika,Ochotona princeps,166.2,15.9,168.8,12.7,NA,NA,NA,NA,30,17,NA,NA,"Used data from the population in natural habitat, rather than anthropogenically changed habitat.","Blair, C. A. M. Population ecologoy of the American pika (Ochotona princeps) in an extreme environment. (University of Alberta, 1998)."
Lagomorpha,Ochotonidae,Collared pika,Ochotona rufescens,165.9,59.6,145.1,53.5,NA,NA,NA,NA,105,48,NA,NA,Only non-pregnant females included.,"Shafi, M. M., Rizvi, S. W. A., Pervez, A., Ali, R. & Shah, S. Z. Some observations on the reproductive biology of collared pika Ochotona rufescens Gray, 1842 from Ziarat Valley, Baluchistan, Pakistan. Acta Theriol. (Warsz). 37, 423–427 (1992)."
Macroscelidea,Macroscelididae,Cape elephant shrew,Elephantulus edwardii,41,7.1,41,8.8,114,7.8,120,17.2,2,6,2,12,HB length calculated from total length - tail length and the higher SD for either measure was used.,"Smit, H. A., Robinson, T. J., Watson, J. & van Vuuren, B. J. A new species of elephant-shrew (Afrotheria: Macroscelidea: Elephantulus) from South Africa. J. Mammal. 89, 1257–1269 (2008)."
Macroscelidea,Macroscelididae,Eastern rock elephant shrew,Elephantulus myurus,51.74,0.882,53.83,5.352831027,NA,NA,NA,NA,36,37,NA,NA,"Combined age classes 5 and 6 (all above age class 3 are sexually mature). Used Baker and Nissin's (1963, Nature) equation to calculate new SEs for the combined means.","Medger, K. The reproductive biology of two small southern African mammals, the spiny mouse, Acomys spinosissimus (Rodentia: Muridae) and the Eastern rock elephant-shrew, Elephantulus myurus (Macrosclidea: Macroscelididae). (University of Pretoria, 2011)."
Macroscelidea,Macroscelididae,Western rock elephant shrew,Elephantulus rupestris,64,6.5,59,13.3,125,15.8,133,18.6,6,8,9,8,Head-and-body length calculated from total length - tail length and the higher SD for either measure was used.,"Smit, H. A., Robinson, T. J., Watson, J. & van Vuuren, B. J. A new species of elephant-shrew (Afrotheria: Macroscelidea: Elephantulus) from South Africa. J. Mammal. 89, 1257–1269 (2008)."
Macroscelidea,Macroscelididae,Karoo rock elephant shrew,Elephantulus pilicaudus,45,4.3,49,6.9,117,14.6,115,6.7,6,6,6,6,Head-and-body length calculated from total length - tail length and the higher SD for either measure was used.,"Smit, H. A., Robinson, T. J., Watson, J. & van Vuuren, B. J. A new species of elephant-shrew (Afrotheria: Macroscelidea: Elephantulus) from South Africa. J. Mammal. 89, 1257–1269 (2008)."
Macroscelidea,Macroscelididae,Round-eared sengi,Macroscelides proboscideus,42.6,4.1,43.3,3.3,NA,NA,NA,NA,33,28,NA,NA,Body masses from the nonreproductive season. They ran a t-test on their data and found no evidence of sexual dimorphism in body mass.,"Schubert, M., Pillay, N., Ribble, D. O. & Schradin, C. The round-eared sengi and the evolution of social monogamy: Factors that constrain males to live with a single female. Ethology 115, 972–985 (2009)."
Peramelemorphia,Peramelidae,Brown bandicoot,Isoodon obesulus,614.19,168.3,476.09,108.2,NA,NA,NA,NA,31,36,NA,NA,Measures from adults only. They note that shorter female longevity (perhaps related to the high reproductive effort they expend) is  likely to cause sexual dimorphism in body mass since growth curves seem similar.,"Stoddart, D. M. & Braithwaite, R. W. A strategy for utilization of regenerating heathland habitat by the brown bandicoot (Isoodon obesulus; Marsupialia, Peramelidae). J. Anim. Ecol. 48, 165–179 (1979)."
Peramelemorphia,Peramelidae,Northern brown bandicoot,Isoodon macrourus,1032,321,704,143,9.1,0.7,8.4,0.5,82,56,83,56,"Body length = head length (noted to be significantly longer in males than females). Also report tail length. Adults only, measures taken throughout the year, but all adults were heaviest in September 1981 and April and November and lightest in Sept. 1982, January and July.","Kemper, C. et al. The biology of the northern brown bandicoot, Isoodon macrourus (Marsupialia: Peramelidae) at Mitchell Plateau, Western Australia. Aust. J. Zool. 37, 609–616 (1990)."
Peramelemorphia,Peramelidae,Eastern barred bandicoot,Perameles gunnii,1049.5,8,954.7,9.2,9.66,0.03,9.7,0.03,396,403,396,403,"Body length = head length (also report tarsus length, ear length, and pes length - this was noted to be significantly longer in males than females but not head length).","Mallick, S. A., Driessen, M. M. & Hocking, G. J. Demography and home range of the eastern barred bandicoot (Perameles gunnii) in south-eastern Tasmania. Wildl. Res. 27, 103–115 (2000)."
Peramelemorphia,Peramelidae,Long-nosed bandicoot,Perameles nasuta,992.143,272.8892,760.84,105.185,NA,NA,NA,NA,14,6,NA,NA,"Combined samples from 2003 and 2004 (after converting SEs to SDs, using SE=SD/SQRT(N)).","MacGregor, C. I., Wood, J. T., Dexter, N. & Lindenmayer, D. B. Home range size and use by long-nosed bandicoot (Perameles nasuta) following fire. Aust. Mammal. 35, 206–216 (2013)."
Perissodactyla,Equidae,Plains zebra,Equus burchelli antiquorum,318500,23540,321600,30440,NA,NA,NA,NA,57,51,NA,NA,"Calculated SDs using reported t-statistic and reported adult means and SEs combined by sex using the formulae for the t-statistic and for combined SDs to calculate the two unknowns (SD for females and SD for males). Note that the combined SD data are based on 113 individuals and the mean body masses are from 57 males and 51 females (a total of 108) so 5 individuals were excluded in the mean body mass calculations, but we feel confident that our sex-segregated SD calculations are still very close to the true sex-segregated SDs for the slightly smaller dataset.","Smuts, G. L. Pre- and postnatal growth phenomena of Burchell’s zebra Equus burchelli antiquorum. Koedoe 18, 69–102 (1975)."
Perissodactyla,Tapiridae,South American tapir,Tapirus terrestris,220250,1707.825128,219500,707.1067812,NA,NA,NA,NA,4,2,NA,NA,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Pilosa,Bradypodidae,Maned sloth,Bradypus torquatus,6150,1061.197437,6900,1571.823463,64.6,3.005435077,68,4.816287055,15,21,15,21,Converted SE to SD using SE=SD/sqrt(N).,"Lara-Ruiz, P. & Chiarello, A. G. Life-history traits and sexual dimorphism of the Atlantic forest maned sloth Bradypus torquatus (Xenarthra: Bradypodidae). J. Zool. 267, 63–73 (2005)."
Pilosa,Bradypodidae,Maned sloth,Bradypus torquatus,4875,713.5591543,5488.75,867.861699,NA,NA,NA,NA,4,8,NA,NA,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Pilosa,Bradypodidae,Pale-throated three-toed sloth,Bradypus tridactylus,3230,680,3520,650,564,43.3,582.3,37,46,44,NA,NA,,"Pool, M. et al. Sloths in the city: unexpectedly high density of pale-throated three-toed sloths (Bradypus tridactylus) found in an urban forest patch in Paramaribo, Suriname. Edentata Newsl. IUCN/SSC Anteater, Sloth Armadillo Spec. Gr. (2016). doi:10.2305/iucn.ch.2016.edentata-17-1.5.en"
Pilosa,Bradypodidae,Brown-throated sloth,Bradypus variegatus,3800,864.0987598,4326,1118.338053,NA,NA,NA,NA,4,5,NA,NA,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Pilosa,Choloepodidae,Hoffman's two-toed sloth,Choloepus hoffmanni,5900,943.5327556,6300,1060.43927,NA,NA,NA,NA,38,48,NA,NA,Converted 95%CIs to SDs (used the larger interval for slightly uneven intervals) by using CI=1.96*SE. Estimated sample sizes from total adults weighed (86) for each sex scaled down from the total of each sex captured in the study (42M and 53F).,"Peery, M. Z. & Pauli, J. N. The mating system of a ‘lazy’ mammal, Hoffmann’s two-toed sloth. Anim. Behav. 84, 555–562 (2012)."
Pilosa,Myrmecophagidae,Giant anteater,Myrmecophaga tridactyla,32890,3350,32770,4020,NA,NA,NA,NA,19,27,NA,NA,"Pregnancy detected through fetal heart auscultation by stethoscope for only four of the 27 females, so kept the data","Kluyber, D. et al. Physical capture and chemical immobilization procedures for a mammal with singular anatomy: the giant anteater (Myrmecophaga tridactyla). Eur. J. Wildl. Res. 67, 1–10 (2021)."
Primates,Atelidae,Red-handed howler,Alouatta belzebul,4766.25,254.0792199,3442.5,524.6189093,NA,NA,NA,NA,4,4,NA,NA,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Primates,Atelidae,Black howler monkey,Alouatta caraya,6420,1150,4330,764,615,24,429,79,58,117,4,7,"Body lengths from All the World's Primates, contribution from Júlio César Bicca-Marques","Smith, R. J. & Jungers, W. L. Body mass in comparative primatology. J. Hum. Evol. 32, 523–559 (1997)."
Primates,Atelidae,Mantled howler monkey,Alouatta palliata,6023,819,4855,746,50.6,2.3,47.5,0.9,344,738,15,15,Body length = head-and-body length.,"All the World's Primates, contribution by Ken Glander"
Primates,Atelidae,Columbian red howler,Alouatta seniculus,5620,535,4030,385,57.857,6.156,51.75,3.529,31,29,7,4,"Body length = head-and-body length. All the World's Primates, contribution by Brian Grafton.","Smith, R. J. & Jungers, W. L. Body mass in comparative primatology. J. Hum. Evol. 32, 523–559 (1997)."
Primates,Atelidae,Northern muriqui,Brachyteles hypoxanthus,9562.5,325,7636,1636.911726,48.733,0.95,48.867,2.658,4,5,3,3,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Primates,Cebidae,Buffy-tufted marmoset,Callithrix aurita,400,36.46916506,438,61.83849933,NA,NA,NA,NA,6,6,NA,NA,In family Callitrichidae but Burgin included Aotidae and Callitrichidae under Cebidae,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Primates,Cebidae,Buffy-headed marmoset,Callithrix flaviceps,480,130.7669683,472.5,95.45941546,NA,NA,NA,NA,3,2,NA,NA,In family Callitrichidae but Burgin included Aotidae and Callitrichidae under Cebidae,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Primates,Cebidae,Common marmoset,Callithrix jacchus,315.3571429,40.3038596,324,49.24846967,NA,NA,NA,NA,14,18,NA,NA,In family Callitrichidae but Burgin included Aotidae and Callitrichidae under Cebidae,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Primates,Cebidae,Black-tufted marmoset,Callithrix penicillata,365,22.58317958,357.8571429,43.95614698,NA,NA,NA,NA,6,7,NA,NA,In family Callitrichidae but Burgin included Aotidae and Callitrichidae under Cebidae,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Primates,Cebidae,Western pygmy marmoset,Cebuella pygmaea,110,11,122,9.9,NA,NA,NA,NA,36,27,NA,NA,In family Callitrichidae but Burgin included Aotidae and Callitrichidae under Cebidae,"Smith, R. J. & Jungers, W. L. Body mass in comparative primatology. J. Hum. Evol. 32, 523–559 (1997)."
Primates,Cebidae,Superagüi lion tamarin,Leontopithecus caissara,680,48.01960384,632.5,60.77155435,NA,NA,NA,NA,18,12,NA,NA,In family Callitrichidae but Burgin included Aotidae and Callitrichidae under Cebidae,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Primates,Cebidae,Black lion tamarin,Leontopithecus chrysopygus,629.7916667,60.54964127,604.7826087,43.67957347,NA,NA,NA,NA,24,23,NA,NA,In family Callitrichidae but Burgin included Aotidae and Callitrichidae under Cebidae,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Primates,Cebidae,Geoffroyi's tamarin,Saguinus geoffroyi,482,50,502,55,NA,NA,NA,NA,55,40,NA,NA,In family Callitrichidae but Burgin included Aotidae and Callitrichidae under Cebidae,"Smith, R. J. & Jungers, W. L. Body mass in comparative primatology. J. Hum. Evol. 32, 523–559 (1997)."
Primates,Cebidae,Cotton-top tamarin,Saguinus oedipus,451,62.1,473,57.3,NA,NA,NA,NA,181,171,NA,NA,In family Callitrichidae but Burgin included Aotidae and Callitrichidae under Cebidae,"Smith, R. J. & Jungers, W. L. Body mass in comparative primatology. J. Hum. Evol. 32, 523–559 (1997)."
Primates,Cebidae,Azara's night monkey,Aotus azarae,1260,134.1640786,1260,135.6465997,33.5,1.8,33,1.8734994,45,46,36,39,Body length does not include the tail (which is reported separately in the paper).,"Fernandez-Duque, E. Rensch’s rule, Bergmann’s effect and adult sexual dimorphism in wild monogamous owl monkeys (Aotus azarai) of Argentina. Am. J. Phys. Anthropol. 146, 38–48 (2011)."
Primates,Cebidae,Azara's night monkey,Aotus azarae,1254,118,1246,114,NA,NA,NA,NA,40,39,NA,NA,In family Aotidae but Burgin included Aotidae and Callitrichidae under Cebidae,"All the World's Primates, contribution by Eduardo Fernandez-Duque"
Primates,Cebidae,Gray-legged night monkey,Aotus griseimembra,1009,200,923,63,NA,NA,NA,NA,20,16,NA,NA,In family Aotidae but Burgin included Aotidae and Callitrichidae under Cebidae,"All the World's Primates, contribution by Eduardo Fernandez-Duque"
Primates,Cebidae,Lemurine night monkey,Aotus lemurinus,920.7,79.9,859,87.6,NA,NA,NA,NA,7,6,NA,NA,In family Aotidae but Burgin included Aotidae and Callitrichidae under Cebidae,"All the World's Primates, contribution by Eduardo Fernandez-Duque"
Primates,Cebidae,Nancy Ma's night monkey,Aotus nancymaae,957,124,855,120,NA,NA,NA,NA,130,124,NA,NA,In family Aotidae but Burgin included Aotidae and Callitrichidae under Cebidae,"Smith, R. J. & Jungers, W. L. Body mass in comparative primatology. J. Hum. Evol. 32, 523–559 (1997)."
Primates,Cebidae,Humboldt's white-fronted capuchin,Cebus albifrons,3260,429,2130,282,NA,NA,NA,NA,24,43,NA,NA,,"Smith, R. J. & Jungers, W. L. Body mass in comparative primatology. J. Hum. Evol. 32, 523–559 (1997)."
Primates,Cebidae,Guianan squirrel monkey,Saimiri sciureus,1020,129,699,77.8,NA,NA,NA,NA,17,58,NA,NA,,"Smith, R. J. & Jungers, W. L. Body mass in comparative primatology. J. Hum. Evol. 32, 523–559 (1997)."
Primates,Cebidae,Blond capuchin,Sapajus flavius,2683.387097,428.3814249,2046.166667,252.7322535,NA,NA,NA,NA,31,30,NA,NA,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Primates,Cebidae,Black capuchin,Sapajus nigritus,2882.5,745.5096487,2408.454545,289.9946081,NA,NA,NA,NA,12,11,NA,NA,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Primates,Cercopithecidae,Wolf's mona monkey,Cercipithecus wolfi,3804,646,2881,365,NA,NA,NA,NA,13,84,NA,NA,Fresh carcasses weighed in meat markets in rural Congo,"Colyn, M. Données pondérales sur les primates Cercopithecidae d’Afrique Centrale (Bassin du Zaire/Congo). Mammalia 58, 483–487 (1994)."
Primates,Cercopithecidae,Tana river mangabey,Cercocebus galeritus,9500,707,5662,1326,NA,NA,NA,NA,2,2,NA,NA,Fresh carcasses weighed in meat markets in rural Congo,"Colyn, M. Données pondérales sur les primates Cercopithecidae d’Afrique Centrale (Bassin du Zaire/Congo). Mammalia 58, 483–487 (1994)."
Primates,Cercopithecidae,Vervet monkey,Cercopithecus aethiops,4130,560,2570,250,NA,NA,NA,NA,26,36,NA,NA,Also have coefficient of variation,"Turner, T. R., Anapol, F. & Jolly, C. J. Body weights of adult vervet monkeys (Cercopithecus aethiops) at foud sites in Kenya. Folia Primatol. 63, 177–179 (1994)."
Primates,Cercopithecidae,Red-tailed monkey,Cercopithecus ascanius,3714,668,2965,339,NA,NA,NA,NA,32,187,NA,NA,Fresh carcasses weighed in meat markets in rural Congo,"Colyn, M. Données pondérales sur les primates Cercopithecidae d’Afrique Centrale (Bassin du Zaire/Congo). Mammalia 58, 483–487 (1994)."
Primates,Cercopithecidae,Hamlyn's monkey,Cercopithecus hamlyni,5486,928,3361,550,NA,NA,NA,NA,11,9,NA,NA,Fresh carcasses weighed in meat markets in rural Congo,"Colyn, M. Données pondérales sur les primates Cercopithecidae d’Afrique Centrale (Bassin du Zaire/Congo). Mammalia 58, 483–487 (1994)."
Primates,Cercopithecidae,L'Hoest's monkey,Cercopithecus l'hoesti,5966,1371,3448,755,NA,NA,NA,NA,19,50,NA,NA,Fresh carcasses weighed in meat markets in rural Congo,"Colyn, M. Données pondérales sur les primates Cercopithecidae d’Afrique Centrale (Bassin du Zaire/Congo). Mammalia 58, 483–487 (1994)."
Primates,Cercopithecidae,Blue monkey,Cercopithecus mitis,5849,918,3929,622,NA,NA,NA,NA,41,94,NA,NA,Fresh carcasses weighed in meat markets in rural Congo,"Colyn, M. Données pondérales sur les primates Cercopithecidae d’Afrique Centrale (Bassin du Zaire/Congo). Mammalia 58, 483–487 (1994)."
Primates,Cercopithecidae,Blue monkey,Cercopithecus mitis,7930,1900,4250,1010,51.84,5.9,42.98,3.78,33,34,34,33,,"Anapol, F., Turner, T. R., Mott, C. S. & Jolly, C. J. Comparative postcranial body shape and locomotion in Chlorocebus aethiops and Cercopithecus mitis. Am. J. Phys. Anthropol. 127, 231–239 (2005)."
Primates,Cercopithecidae,Greater spot-nosed monkey,Cercopithecus nictitans,6729,969,4276,878,NA,NA,NA,NA,17,21,NA,NA,Fresh carcasses weighed in meat markets in rural Congo,"Colyn, M. Données pondérales sur les primates Cercopithecidae d’Afrique Centrale (Bassin du Zaire/Congo). Mammalia 58, 483–487 (1994)."
Primates,Cercopithecidae,Grivet,Chlorocebus aethiops,4210,580,2740,380,41.04,2.84,35.78,2.46,48,61,48,61,,"Anapol, F., Turner, T. R., Mott, C. S. & Jolly, C. J. Comparative postcranial body shape and locomotion in Chlorocebus aethiops and Cercopithecus mitis. Am. J. Phys. Anthropol. 127, 231–239 (2005)."
Primates,Cercopithecidae,Angola colobus,Colobus angolensis,9619,1565,7770,1044,NA,NA,NA,NA,8,5,NA,NA,Fresh carcasses weighed in meat markets in rural Congo,"Colyn, M. Données pondérales sur les primates Cercopithecidae d’Afrique Centrale (Bassin du Zaire/Congo). Mammalia 58, 483–487 (1994)."
Primates,Cercopithecidae,Grey-cheeked mangabey,Lophocebus albigena,7650,1368,6500,999,NA,NA,NA,NA,4,6,NA,NA,Fresh carcasses weighed in meat markets in rural Congo,"Colyn, M. Données pondérales sur les primates Cercopithecidae d’Afrique Centrale (Bassin du Zaire/Congo). Mammalia 58, 483–487 (1994)."
